feedback_text,source
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,Yelp
this place is good.,Yelp
I was seated immediately.,Yelp
"Their menu is diverse, and reasonably priced.",Yelp
Restaurant is always full but never a wait.,Yelp
DELICIOUS!!,Yelp
This place is hands-down one of the best places to eat in the Phoenix metro area.,Yelp
Bacon is hella salty.,Yelp
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",Yelp
The waitresses are very friendly.,Yelp
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",Yelp
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,Yelp
"The atmosphere is modern and hip, while maintaining a touch of coziness.",Yelp
"Not a weekly haunt, but definitely a place to come back to every once in a while.",Yelp
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",Yelp
I ordered the Lemon raspberry ice cocktail which was also incredible.,Yelp
Interesting decor.,Yelp
What I really like there is the crepe station.,Yelp
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",Yelp
you can watch them preparing the delicious food!),Yelp
Both of the egg rolls were fantastic.,Yelp
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",Yelp
The best place to go for a tasty bowl of Pho!,Yelp
Very friendly staff.,Yelp
It is worth the drive.,Yelp
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",Yelp
Food was great and so was the serivce!,Yelp
Great brunch spot.,Yelp
Service is friendly and inviting.,Yelp
Very good lunch spot.,Yelp
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",Yelp
My friend loved the salmon tartar.,Yelp
Extremely Tasty!,Yelp
Waitress was good though!,Yelp
The Jamaican mojitos are delicious.,Yelp
- the food is rich so order accordingly.,Yelp
I loved the bacon wrapped dates.,Yelp
This is an unbelievable BARGAIN!,Yelp
The folks at Otto always make us feel so welcome and special.,Yelp
This is the place where I first had pho and it was amazing!!,Yelp
This wonderful experience made this place a must-stop whenever we are in town again.,Yelp
Very very fun chef.,Yelp
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,Yelp
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",Yelp
"Everyone is very attentive, providing excellent customer service.",Yelp
Now this dish was quite flavourful.,Yelp
"Seriously flavorful delights, folks.",Yelp
Much better than the other AYCE sushi place I went to in Vegas.,Yelp
The lighting is just dark enough to set the mood.,Yelp
Owner's are really great people.!,Yelp
The Greek dressing was very creamy and flavorful.,Yelp
Now the pizza itself was good the peanut sauce was very tasty.,Yelp
We had 7 at our table and the service was pretty fast.,Yelp
Fantastic service here.,Yelp
They know how to make them here.,Yelp
I hope this place sticks around.,Yelp
The restaurant atmosphere was exquisite.,Yelp
"Good service, very clean, and inexpensive, to boot!",Yelp
The seafood was fresh and generous in portion.,Yelp
"Plus, it's only 8 bucks.",Yelp
"Thus far, have only visited twice and the food was absolutely delicious each time.",Yelp
Just as good as when I had it more than a year ago!,Yelp
The Veggitarian platter is out of this world!,Yelp
You cant go wrong with any of the food here.,Yelp
You can't beat that.,Yelp
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",Yelp
The chefs were friendly and did a good job.,Yelp
I liked the patio and the service was outstanding.,Yelp
The goat taco didn't skimp on the meat and wow what FLAVOR!,Yelp
I went to Bachi Burger on a friend's recommendation and was not disappointed.,Yelp
I would definitely recommend the wings as well as the pizza.,Yelp
Great Pizza and Salads!,Yelp
This place is amazing!,Yelp
"The staff is great, the food is delish, and they have an incredible beer selection.",Yelp
I didn't know pulled pork could be soooo delicious.,Yelp
"You get incredibly fresh fish, prepared with care.",Yelp
I love the fact that everything on their menu is worth it.,Yelp
The food was excellent and service was very good.,Yelp
Good beer & drink selection and good food selection.,Yelp
Good Service-check!,Yelp
"In the summer, you can dine in a charming outdoor patio - so very delightful.",Yelp
I did not expect this to be so good!,Yelp
Fantastic food!,Yelp
The food was very good.,Yelp
"Great food for the price, which is very high quality and house made.",Yelp
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",Yelp
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",Yelp
All the bread is made in-house!,Yelp
Service was exceptional and food was a good as all the reviews.,Yelp
"A couple of months later, I returned and had an amazing meal.",Yelp
Favorite place in town for shawarrrrrrma!!!!!!,Yelp
The black eyed peas and sweet potatoes... UNREAL!,Yelp
You won't be disappointed.,Yelp
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",Yelp
"Both of them were truly unbelievably good, and I am so glad we went back.",Yelp
"We had fantastic service, and were pleased by the atmosphere.",Yelp
I love this place.,Yelp
Great service and food.,Yelp
"OMG, the food was delicioso!",Yelp
"Of all the dishes, the salmon was the best, but all were great.",Yelp
The vegetables are so fresh and the sauce feels like authentic Thai.,Yelp
It's worth driving up from Tucson!,Yelp
Pretty good beer selection too.,Yelp
"This place is like Chipotle, but BETTER.",Yelp
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",Yelp
5 stars for the brick oven bread app!,Yelp
"I have eaten here multiple times, and each time the food was delicious.",Yelp
Everyone is treated equally special.,Yelp
It was delicious!!!,Yelp
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",Yelp
As always the evening was wonderful and the food delicious!,Yelp
Best fish I've ever had in my life!,Yelp
(The bathroom is just next door and very nice.),Yelp
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,Yelp
Pretty cool I would say.,Yelp
Server did a great job handling our large rowdy table.,Yelp
Would come back again if I had a sushi craving while in Vegas.,Yelp
"The staff are great, the ambiance is great.",Yelp
He deserves 5 stars.,Yelp
"The dining space is tiny, but elegantly decorated and comfortable.",Yelp
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",Yelp
Best tacos in town by far!!,Yelp
"In an interesting part of town, this place is amazing.",Yelp
They have great dinners.,Yelp
The service was outshining & I definitely recommend the Halibut.,Yelp
I will come back here every time I'm in Vegas.,Yelp
Def coming back to bowl next time,Yelp
"If you want healthy authentic or ethic food, try this place.",Yelp
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,Yelp
"I have been here several times in the past, and the experience has always been great.",Yelp
We walked away stuffed and happy about our first Vegas buffet experience.,Yelp
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,Yelp
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",Yelp
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,Yelp
Service is perfect and the family atmosphere is nice to see.,Yelp
Cooked to perfection and the service was impeccable.,Yelp
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",Yelp
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,Yelp
I'll definitely be in soon again.,Yelp
Food was really good and I got full petty fast.,Yelp
Service was fantastic.,Yelp
I don't know what kind it is but they have the best iced tea.,Yelp
"Come hungry, leave happy and stuffed!",Yelp
I can assure you that you won't be disappointed.,Yelp
I really enjoyed eating here.,Yelp
First time going but I think I will quickly become a regular.,Yelp
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",Yelp
From what my dinner companions told me...everything was very fresh with nice texture and taste.,Yelp
No complaints!,Yelp
This is some seriously good pizza and I'm an expert/connisseur on the topic.,Yelp
These are the nicest restaurant owners I've ever come across.,Yelp
We loved the biscuits!!!,Yelp
Service is quick and friendly.,Yelp
So absolutley fantastic.,Yelp
definitely will come back here again.,Yelp
I like Steiners because it's dark and it feels like a bar.,Yelp
Wow very spicy but delicious.,Yelp
"If you're not familiar, check it out.",Yelp
I'd love to go back.,Yelp
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",Yelp
Each day of the week they have a different deal and it's all so delicious!,Yelp
"Not to mention the combination of pears, almonds and bacon is a big winner!",Yelp
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",Yelp
My ribeye steak was cooked perfectly and had great mesquite flavor.,Yelp
Food was so gooodd.,Yelp
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",Yelp
Nargile - I think you are great.,Yelp
Best tater tots in the southwest.,Yelp
We loved the place.,Yelp
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,Yelp
Im in AZ all the time and now have my new spot.,Yelp
The inside is really quite nice and very clean.,Yelp
The food was outstanding and the prices were very reasonable.,Yelp
"Love the margaritas, too!",Yelp
This was my first and only Vegas buffet and it did not disappoint.,Yelp
"Very good, though!",Yelp
Great pork sandwich.,Yelp
We enjoy their pizza and brunch.,Yelp
The steaks are all well trimmed and also perfectly cooked.,Yelp
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,Yelp
I LOVED it!,Yelp
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",Yelp
Delicious and I will absolutely be back!,Yelp
"This isn't a small family restaurant, this is a fine dining establishment.",Yelp
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,Yelp
How awesome is that.,Yelp
I will be back many times soon.,Yelp
The menu had so much good stuff on it i could not decide!,Yelp
CONCLUSION: Very filling meals.,Yelp
Their daily specials are always a hit with my group.,Yelp
The pancake was also really good and pretty large at that.,Yelp
"This was my first crawfish experience, and it was delicious!",Yelp
Their monster chicken fried steak and eggs is my all time favorite.,Yelp
Waitress was sweet and funny.,Yelp
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",Yelp
Cant say enough good things about this place.,Yelp
The ambiance was incredible.,Yelp
The waitress and manager are so friendly.,Yelp
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",Yelp
"Give it a try, you will be happy you did.",Yelp
By far the BEST cheesecurds we have ever had!,Yelp
Reasonably priced also!,Yelp
Everything was perfect the night we were in.,Yelp
The food is very good for your typical bar food.,Yelp
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",Yelp
"Point your finger at any item on the menu, order it and you won't be disappointed.",Yelp
"Oh this is such a thing of beauty, this restaurant.",Yelp
If you haven't gone here GO NOW!,Yelp
Those burgers were amazing.,Yelp
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",Yelp
This was my first time and I can't wait until the next.,Yelp
The bartender was also nice.,Yelp
Everything was good and tasty!,Yelp
This place is two thumbs up....way up.,Yelp
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",Yelp
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",Yelp
An excellent new restaurant by an experienced Frenchman.,Yelp
"Great steak, great sides, great wine, amazing desserts.",Yelp
The steak and the shrimp are in my opinion the best entrees at GC.,Yelp
I had the opportunity today to sample your amazing pizzas!,Yelp
The yellowtail carpaccio was melt in your mouth fresh.,Yelp
Just spicy enough.. Perfect actually.,Yelp
Last night was my second time dining here and I was so happy I decided to go back!,Yelp
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,Yelp
"I really do recommend this place, you can go wrong with this donut place!",Yelp
Nice ambiance.,Yelp
I would recommend saving room for this!,Yelp
All of the tapas dishes were delicious!,Yelp
I *heart* this place.,Yelp
A good time!,Yelp
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,Yelp
Generous portions and great taste.,Yelp
Food was delicious!,Yelp
"He also came back to check on us regularly, excellent service.",Yelp
Our server was super nice and checked on us many times.,Yelp
Service was good and the company was better!,Yelp
The staff are also very friendly and efficient.,Yelp
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",Yelp
Their steaks are 100% recommended!,Yelp
Great food and great service in a clean and friendly setting.,Yelp
"All in all, I can assure you I'll be back.",Yelp
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",Yelp
Great place fo take out or eat in.,Yelp
The waitress was friendly and happy to accomodate for vegan/veggie options.,Yelp
OMG I felt like I had never eaten Thai food until this dish.,Yelp
The croutons also taste homemade which is an extra plus.,Yelp
It'll be a regular stop on my trips to Phoenix!,Yelp
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,Yelp
I miss it and wish they had one in Philadelphia!,Yelp
They also have the best cheese crisp in town.,Yelp
"Good value, great food, great service.",Yelp
Couldn't ask for a more satisfying meal.,Yelp
The food is good.,Yelp
It was awesome.,Yelp
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,Yelp
An absolute must visit!,Yelp
The cow tongue and cheek tacos are amazing.,Yelp
They really want to make your experience a good one.,Yelp
The grilled chicken was so tender and yellow from the saffron seasoning.,Yelp
Pretty awesome place.,Yelp
Ambience is perfect.,Yelp
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",Yelp
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,Yelp
The roast beef sandwich tasted really good!,Yelp
High-quality chicken on the chicken Caesar salad.,Yelp
We were promptly greeted and seated.,Yelp
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",Yelp
This is a good joint.,Yelp
The Macarons here are insanely good.,Yelp
"Our waiter was very attentive, friendly, and informative.",Yelp
Great food.,Yelp
Great place to relax and have an awesome burger and beer.,Yelp
It is PERFECT for a sit-down family meal or get together with a few friends.,Yelp
The patio seating was very comfortable.,Yelp
Hands down my favorite Italian restaurant!,Yelp
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",Yelp
It was just not a fun experience.,Yelp
The atmosphere was great with a lovely duo of violinists playing songs we requested.,Yelp
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",Yelp
"Very convenient, since we were staying at the MGM!",Yelp
The owners are super friendly and the staff is courteous.,Yelp
Both great!,Yelp
Eclectic selection.,Yelp
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,Yelp
The staff was very attentive.,Yelp
And the chef was generous with his time (even came around twice so we can take pictures with him).,Yelp
"The owner used to work at Nobu, so this place is really similar for half the price.",Yelp
I promise they won't disappoint.,Yelp
What a great double cheeseburger!,Yelp
Awesome service and food.,Yelp
A fantastic neighborhood gem !!!,Yelp
I can't wait to go back.,Yelp
It's a great place and I highly recommend it.,Yelp
"I gave it 5 stars then, and I'm giving it 5 stars now.",Yelp
Dessert: Panna Cotta was amazing.,Yelp
"Very good food, great atmosphere.1",Yelp
Damn good steak.,Yelp
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",Yelp
"The decor is nice, and the piano music soundtrack is pleasant.",Yelp
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,Yelp
"Good food , good service .",Yelp
It was absolutely amazing.,Yelp
will definitely be back!,Yelp
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,Yelp
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",Yelp
Have been going since 2007 and every meal has been awesome!!,Yelp
Our server was very nice and attentive as were the other serving staff.,Yelp
The cashier was friendly and even brought the food out to me.,Yelp
The atmosphere here is fun.,Yelp
"Service is quick and even ""to go"" orders are just like we like it!",Yelp
"That said, our mouths and bellies were still quite pleased.",Yelp
2 Thumbs Up!!,Yelp
"I loved the grilled pizza, reminded me of legit Italian pizza.",Yelp
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,Yelp
They have a really nice atmosphere.,Yelp
"After one bite, I was hooked.",Yelp
"Cute, quaint, simple, honest.",Yelp
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,Yelp
"The food was great as always, compliments to the chef.",Yelp
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,Yelp
Awesome selection of beer.,Yelp
Great food and awesome service!,Yelp
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",Yelp
The Han Nan Chicken was also very tasty.,Yelp
"As for the service, I thought it was good.",Yelp
Nicest Chinese restaurant I've been in a while.,Yelp
"Overall, I like there food and the service.",Yelp
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,Yelp
"Try them in the airport to experience some tasty food and speedy, friendly service.",Yelp
I love the decor with the Chinese calligraphy wall paper.,Yelp
Never had anything to complain about here.,Yelp
The restaurant is very clean and has a family restaurant feel to it.,Yelp
There was a warm feeling with the service and I felt like their guest for a special treat.,Yelp
An extensive menu provides lots of options for breakfast.,Yelp
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",Yelp
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,Yelp
"I got to enjoy the seafood salad, with a fabulous vinegrette.",Yelp
"The wontons were thin, not thick and chewy, almost melt in your mouth.",Yelp
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",Yelp
We were sat right on time and our server from the get go was FANTASTIC!,Yelp
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",Yelp
This is a GREAT place to eat!,Yelp
The jalapeno bacon is soooo good.,Yelp
"Food was good, service was good, Prices were good.",Yelp
"I'm so happy to be here!!!""",Yelp
One of the few places in Phoenix that I would definately go back to again .,Yelp
The block was amazing.,Yelp
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",Yelp
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,Yelp
Great time - family dinner on a Sunday night.,Yelp
The flair bartenders are absolutely amazing!,Yelp
These were so good we ordered them twice.,Yelp
I had a pretty satifying experience.,Yelp
Join the club and get awesome offers via email.,Yelp
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",Yelp
The nachos are a MUST HAVE!,Yelp
"I don't have very many words to say about this place, but it does everything pretty well.",Yelp
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",Yelp
"Great atmosphere, friendly and fast service.",Yelp
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,Yelp
The classic Maine Lobster Roll was fantastic.,Yelp
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,Yelp
"The chips and salsa were really good, the salsa was very fresh.",Yelp
This place is great!!!!!!!!!!!!!!,Yelp
Once you get inside you'll be impressed with the place.,Yelp
And service was super friendly.,Yelp
This place was such a nice surprise!,Yelp
They were golden-crispy and delicious.,Yelp
I could eat their bruschetta all day it is devine.,Yelp
"Lastly, the mozzarella sticks, they were the best thing we ordered.",Yelp
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",Yelp
I can say that the desserts were yummy.,Yelp
The seasonal fruit was fresh white peach puree.,Yelp
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,Yelp
The crêpe was delicate and thin and moist.,Yelp
"Best service and food ever, Maria our server was so good and friendly she made our day.",Yelp
They were excellent.,Yelp
Just had lunch here and had a great experience.,Yelp
I recently tried Caballero's and I have been back every week since!,Yelp
The food came out at a good pace.,Yelp
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",Yelp
"In fact I'm going to round up to 4 stars, just because she was so awesome.",Yelp
the potatoes were great and so was the biscuit.,Yelp
So flavorful and has just the perfect amount of heat.,Yelp
The price is reasonable and the service is great.,Yelp
"Went in for happy hour, great list of wines.",Yelp
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,Yelp
"This place is pretty good, nice little vibe in the restaurant.",Yelp
Talk about great customer service of course we will be back.,Yelp
I love their fries and their beans.,Yelp
Always a pleasure dealing with him.,Yelp
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",Yelp
This place is awesome if you want something light and healthy during the summer.,Yelp
"For sushi on the Strip, this is the place to go.",Yelp
"The service was great, even the manager came and helped with our table.",Yelp
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",Yelp
My boyfriend and i sat at the bar and had a completely delightful experience.,Yelp
Go To Place for Gyros.,Yelp
"I love the owner/chef, his one authentic Japanese cool dude!",Yelp
We definately enjoyed ourselves.,Yelp
Seriously killer hot chai latte.,Yelp
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,Yelp
Their rotating beers on tap is also a highlight of this place.,Yelp
If you stay in Vegas you must get breakfast here at least once.,Yelp
I want to first say our server was great and we had perfect service.,Yelp
The pizza selections are good.,Yelp
"I had strawberry tea, which was good.",Yelp
"Overall, a great experience.",Yelp
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,Yelp
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,Yelp
This is my new fav Vegas buffet spot.,Yelp
"Every time I eat here, I see caring teamwork to a professional degree.",Yelp
