feedback_text,source
Kind of hard to mess up a steak but they did.,Yelp
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",Yelp
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,Yelp
"Worst service to boot, but that is the least of their worries.",Yelp
"Host staff were, for lack of a better word, BITCHES!",Yelp
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,Yelp
I wouldn't return.,Yelp
This place is way too overpriced for mediocre food.,Yelp
The management is rude.,Yelp
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",Yelp
Don't do it!!!!,Yelp
The waiter wasn't helpful or friendly and rarely checked on us.,Yelp
My husband and I ate lunch here and were very disappointed with the food and service.,Yelp
And the red curry had so much bamboo shoots and wasn't very tasty to me.,Yelp
"The menu is always changing, food quality is going down & service is extremely slow.",Yelp
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",Yelp
I give it 2 thumbs down,Yelp
We watched our waiter pay a lot more attention to other tables and ignore us.,Yelp
We waited for forty five minutes in vain.,Yelp
Crostini that came with the salad was stale.,Yelp
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",Yelp
I came back today since they relocated and still not impressed.,Yelp
Avoid at all cost!,Yelp
So don't go there if you are looking for good food...,Yelp
I've never been treated so bad.,Yelp
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,Yelp
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",Yelp
The service here leaves a lot to be desired.,Yelp
We literally sat there for 20 minutes with no one asking to take our order.,Yelp
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",Yelp
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,Yelp
I dressed up to be treated so rudely!,Yelp
It was probably dirt.,Yelp
"The food sucked, which we expected but it sucked more than we could have imagined.",Yelp
"When my order arrived, one of the gyros was missing.",Yelp
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,Yelp
The live music on Fridays totally blows.,Yelp
I've never been more insulted or felt disrespected.,Yelp
The warm beer didn't help.,Yelp
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,Yelp
The WORST EXPERIENCE EVER.,Yelp
Must have been an off night at this place.,Yelp
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",Yelp
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",Yelp
Won't go back.,Yelp
Soggy and not good.,Yelp
Which are small and not worth the price.,Yelp
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",Yelp
The service was a bit lacking.,Yelp
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",Yelp
Hopefully this bodes for them going out of business and someone who can cook can come in.,Yelp
"It was either too cold, not enough flavor or just bad.",Yelp
"As for the ""mains,"" also uninspired.",Yelp
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",Yelp
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",Yelp
"If it were possible to give them zero stars, they'd have it.",Yelp
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",Yelp
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,Yelp
Horrible - don't waste your time and money.,Yelp
By this time our side of the restaurant was almost empty so there was no excuse.,Yelp
"(It wasn't busy either) Also, the building was FREEZING cold.",Yelp
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",Yelp
-Drinks took close to 30 minutes to come out at one point.,Yelp
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,Yelp
There is nothing privileged about working/eating there.,Yelp
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",Yelp
I as well would've given godfathers zero stars if possible.,Yelp
very tough and very short on flavor!,Yelp
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",Yelp
"The service was not up to par, either.",Yelp
"For a self proclaimed coffee cafe, I was wildly disappointed.",Yelp
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",Yelp
I think not again,Yelp
I had the mac salad and it was pretty bland so I will not be getting that again.,Yelp
Service stinks here!,Yelp
I waited and waited.,Yelp
"This place is not quality sushi, it is not a quality restaurant.",Yelp
Things that went wrong: - They burned the saganaki.,Yelp
We waited an hour for what was a breakfast I could have done 100 times better at home.,Yelp
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",Yelp
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,Yelp
Just don't know why they were so slow.,Yelp
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",Yelp
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,Yelp
Never again will I be dining at this place!,Yelp
Please stay away from the shrimp stir fried noodles.,Yelp
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,Yelp
Food was really boring.,Yelp
This greedy corporation will NEVER see another dime from me!,Yelp
"Will never, ever go back.",Yelp
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",Yelp
She ordered a toasted English muffin that came out untoasted.,Yelp
Never going back.,Yelp
The bus boy on the other hand was so rude.,Yelp
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",Yelp
The only downside is the service.,Yelp
"Also, the fries are without a doubt the worst fries I've ever had.",Yelp
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",Yelp
When my mom and I got home she immediately got sick and she only had a few bites of salad.,Yelp
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,Yelp
Everything was gross.,Yelp
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,Yelp
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",Yelp
There is nothing authentic about this place.,Yelp
the spaghetti is nothing special whatsoever.,Yelp
The selection was probably the worst I've seen in Vegas.....there was none.,Yelp
We sat another ten minutes and finally gave up and left.,Yelp
He was terrible!,Yelp
It shouldn't take 30 min for pancakes and eggs.,Yelp
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",Yelp
The buffet is small and all the food they offered was BLAND.,Yelp
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,Yelp
"I find wasting food to be despicable, but this just wasn't food.",Yelp
My wife had the Lobster Bisque soup which was lukewarm.,Yelp
I left with a stomach ache and felt sick the rest of the day.,Yelp
They dropped more than the ball.,Yelp
And the beans and rice were mediocre at best.,Yelp
I took back my money and got outta there.,Yelp
RUDE & INCONSIDERATE MANAGEMENT.,Yelp
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",Yelp
I won't be back.,Yelp
The food was terrible.,Yelp
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,Yelp
I don't recommend unless your car breaks down in front of it and you are starving.,Yelp
This place deserves one star and 90% has to do with the food.,Yelp
This is a disgrace.,Yelp
I'm probably one of the few people to ever go to Ians and not like it.,Yelp
This one is simply a disappointment.,Yelp
"Overall, I was very disappointed with the quality of food at Bouchon.",Yelp
I don't have to be an accountant to know I'm getting screwed!,Yelp
Left very frustrated.,Yelp
TOTAL WASTE OF TIME.,Yelp
"For service, I give them no stars.",Yelp
I can take a little bad service but the food sucks.,Yelp
Gave up trying to eat any of the crust (teeth still sore).,Yelp
But now I was completely grossed out.,Yelp
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",Yelp
"Furthermore, you can't even find hours of operation on the website!",Yelp
We've tried to like this place but after 10+ times I think we're done with them.,Yelp
What a mistake that was!,Yelp
Waiter was a jerk.,Yelp
"Strike 2, who wants to be rushed.",Yelp
I never come again.,Yelp
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,Yelp
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,Yelp
I'll take my business dinner dollars elsewhere.,Yelp
Nothing special.,Yelp
Will not be back.,Yelp
Sauce was tasteless.,Yelp
I don't think we'll be going back anytime soon.,Yelp
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,Yelp
I was so insulted.,Yelp
The last 3 times I had lunch here has been bad.,Yelp
The chicken wings contained the driest chicken meat I have ever eaten.,Yelp
Definitely not worth the $3 I paid.,Yelp
The manager was the worst.,Yelp
I don't think I'll be running back to Carly's anytime soon for food.,Yelp
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",Yelp
The one down note is the ventilation could use some upgrading.,Yelp
Don't waste your time here.,Yelp
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",Yelp
"Third, the cheese on my friend's burger was cold.",Yelp
We asked for the bill to leave without eating and they didn't bring that either.,Yelp
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,Yelp
The selection of food was not the best.,Yelp
I dont think I will be back for a very long time.,Yelp
"It was attached to a gas station, and that is rarely a good sign.",Yelp
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",Yelp
And then tragedy struck.,Yelp
"I'd rather eat airline food, seriously.",Yelp
I would not recommend this place.,Yelp
Overall I wasn't very impressed with Noca.,Yelp
My gyro was basically lettuce only.,Yelp
Terrible service!,Yelp
Thoroughly disappointed!,Yelp
it was a drive to get there.,Yelp
"Anyway, I do not think i will go back there.",Yelp
"A greasy, unhealthy meal.",Yelp
first time there and might just be the last.,Yelp
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",Yelp
And it was way to expensive.,Yelp
Terrible management.,Yelp
If there were zero stars I would give it zero stars.,Yelp
Worst martini ever!,Yelp
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,Yelp
I won't try going back there even if it's empty.,Yelp
"No, I'm going to eat the potato that I found some strangers hair in it.",Yelp
"not even a ""hello, we will be right with you.""",Yelp
The desserts were a bit strange.,Yelp
I guess maybe we went on an off night but it was disgraceful.,Yelp
"However, my recent experience at this particular location was not so good.",Yelp
"I know this is not like the other restaurants at all, something is very off here!",Yelp
AVOID THIS ESTABLISHMENT!,Yelp
I think this restaurant suffers from not trying hard enough.,Yelp
My salad had a bland vinegrette on the baby greens and hearts of Palm.,Yelp
After two I felt disgusting.,Yelp
I will never go back to this place and will never ever recommended this place to anyone!,Yelp
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",Yelp
AN HOUR... seriously?,Yelp
I consider this theft.,Yelp
Eew... This location needs a complete overhaul.,Yelp
We recently witnessed her poor quality of management towards other guests as well.,Yelp
Waited and waited and waited.,Yelp
"The pizza tasted old, super chewy in not a good way.",Yelp
I swung in to give them a try but was deeply disappointed.,Yelp
Boy was that sucker dry!!.,Yelp
Over rated.,Yelp
"If you look for authentic Thai food, go else where.",Yelp
After I pulled up my car I waited for another 15 minutes before being acknowledged.,Yelp
I hate those things as much as cheap quality black olives.,Yelp
The kids play area is NASTY!,Yelp
"It was extremely ""crumby"" and pretty tasteless.",Yelp
It was a pale color instead of nice and char and has NO flavor.,Yelp
I got home to see the driest damn wings ever!,Yelp
Not good for the money.,Yelp
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",Yelp
I just wanted to leave.,Yelp
I will not be eating there again.,Yelp
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,Yelp
I checked out this place a couple years ago and was not impressed.,Yelp
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",Yelp
"Sorry, I will not be getting food from here anytime soon :(",Yelp
My friend did not like his Bloody Mary.,Yelp
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",Yelp
I will not return.,Yelp
I had the chicken Pho and it tasted very bland.,Yelp
Very disappointing!!!,Yelp
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",Yelp
Best of luck to the rude and non-customer service focused new management.,Yelp
Any grandmother can make a roasted chicken better than this one.,Yelp
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,Yelp
"Same evening, him and I are both drastically sick.",Yelp
Ordered burger rare came in we'll done.,Yelp
Tried to go here for lunch and it was a madhouse.,Yelp
"After waiting an hour and being seated, I was not in the greatest of moods.",Yelp
I'm not eating here!,Yelp
Maybe if they weren't cold they would have been somewhat edible.,Yelp
This place has a lot of promise but fails to deliver.,Yelp
Very bad Experience!,Yelp
What a mistake.,Yelp
Food was average at best.,Yelp
We won't be going back anytime soon!,Yelp
Very Very Disappointed ordered the $35 Big Bay Plater.,Yelp
"Not much flavor to them, and very poorly constructed.",Yelp
The fried rice was dry as well.,Yelp
Google mediocre and I imagine Smashburger will pop up.,Yelp
dont go here.,Yelp
As a sushi lover avoid this place by all means.,Yelp
The plantains were the worst I've ever tasted.,Yelp
Service was slow and not attentive.,Yelp
Your staff spends more time talking to themselves than me.,Yelp
Total brunch fail.,Yelp
"I probably won't be back, to be honest.",Yelp
Went for lunch - service was slow.,Yelp
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",Yelp
I was mortified.,Yelp
"Needless to say, we will never be back here again.",Yelp
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",Yelp
"The chips that came out were dripping with grease, and mostly not edible.",Yelp
I wasn't really impressed with Strip Steak.,Yelp
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,Yelp
Would not recommend to others.,Yelp
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",Yelp
Not my thing.,Yelp
If you are reading this please don't go there.,Yelp
Tonight I had the Elk Filet special...and it sucked.,Yelp
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,Yelp
A FLY was in my apple juice.. A FLY!!!!!!!!,Yelp
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",Yelp
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,Yelp
"Probably never coming back, and wouldn't recommend it.",Yelp
"Friend's pasta -- also bad, he barely touched it.",Yelp
It was way over fried.,Yelp
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,Yelp
"When I opened the sandwich, I was impressed, but not in a good way.",Yelp
Will not be back!,Yelp
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",Yelp
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",Yelp
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,Yelp
The service was poor and thats being nice.,Yelp
The place was not clean and the food oh so stale!,Yelp
"The chicken dishes are OK, the beef is like shoe leather.",Yelp
But the service was beyond bad.,Yelp
Tasted like dirt.,Yelp
My sashimi was poor quality being soggy and tasteless.,Yelp
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",Yelp
"What did bother me, was the slow service.",Yelp
Their frozen margaritas are WAY too sugary for my taste.,Yelp
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,Yelp
My girlfriend's veal was very bad.,Yelp
"Unfortunately, it was not good.",Yelp
Bland and flavorless is a good way of describing the barely tepid meat.,Yelp
"The chains, which I'm no fan of, beat this place easily.",Yelp
We will not be coming back.,Yelp
Once your food arrives it's meh.,Yelp
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,Yelp
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",Yelp
Mediocre food.,Yelp
I'm super pissd.,Yelp
Why are these sad little vegetables so overcooked?,Yelp
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",Yelp
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,Yelp
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,Yelp
The service was terrible though.,Yelp
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",Yelp
It was packed!!,Yelp
It kept getting worse and worse so now I'm officially done.,Yelp
This place should honestly be blown up.,Yelp
But I definitely would not eat here again.,Yelp
Do not waste your money here!,Yelp
Awful service.,Yelp
Won't ever go here again.,Yelp
Food quality has been horrible.,Yelp
For that price I can think of a few place I would have much rather gone.,Yelp
The service here is fair at best.,Yelp
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",Yelp
Do yourself a favor and stay away from this dish.,Yelp
Very poor service.,Yelp
No one at the table thought the food was above average or worth the wait that we had for it.,Yelp
I paid the bill but did not tip because I felt the server did a terrible job.,Yelp
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,Yelp
Food is way overpriced and portions are fucking small.,Yelp
"for 40 bucks a head, i really expect better food.",Yelp
We could not believe how dirty the oysters were!,Yelp
This place deserves no stars.,Yelp
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",Yelp
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",Yelp
I probably would not go here again.,Yelp
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",Yelp
My fella got the huevos rancheros and they didn't look too appealing.,Yelp
I probably won't be coming back here.,Yelp
Worst food/service I've had in a while.,Yelp
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",Yelp
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,Yelp
"I started this review with two stars, but I'm editing it to give it only one.",Yelp
this is the worst sushi i have ever eat besides Costco's.,Yelp
Weird vibe from owners.,Yelp
There was hardly any meat.,Yelp
I've had better bagels from the grocery store.,Yelp
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",Yelp
I found a six inch long piece of wire in my salsa.,Yelp
"The service was terrible, food was mediocre.",Yelp
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,Yelp
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",Yelp
I had about two bites and refused to eat anymore.,Yelp
The service was extremely slow.,Yelp
"After 20 minutes wait, I got a table.",Yelp
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",Yelp
Pricing is a bit of a concern at Mellow Mushroom.,Yelp
Worst Thai ever.,Yelp
Highly unprofessional and rude to a loyal patron!,Yelp
Spend your money elsewhere.,Yelp
The Buffet at Bellagio was far from what I anticipated.,Yelp
"And the drinks are WEAK, people!",Yelp
-My order was not correct.,Yelp
"Also, I feel like the chips are bought, not made in house.",Yelp
After the disappointing dinner we went elsewhere for dessert.,Yelp
We won't be returning.,Yelp
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,Yelp
"Very, very sad.",Yelp
"i felt insulted and disrespected, how could you talk and judge another human being like that?",Yelp
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",Yelp
I'm not impressed with the concept or the food.,Yelp
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,Yelp
"There is really nothing for me at postinos, hope your experience is better",Yelp
I got food poisoning here at the buffet.,Yelp
They brought a fresh batch of fries and I was thinking yay something warm but no!,Yelp
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",Yelp
"Needless to say, I won't be going back anytime soon.",Yelp
This place is disgusting!,Yelp
The RI style calamari was a joke.,Yelp
"However, there was so much garlic in the fondue, it was barely edible.",Yelp
"I could barely stomach the meal, but didn't complain because it was a business lunch.",Yelp
"It was so bad, I had lost the heart to finish it.",Yelp
It also took her forever to bring us the check when we asked for it.,Yelp
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,Yelp
Disappointing experience.,Yelp
"The food is about on par with Denny's, which is to say, not good at all.",Yelp
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",Yelp
WAAAAAAyyyyyyyyyy over rated is all I am saying.,Yelp
We won't be going back.,Yelp
The place was fairly clean but the food simply wasn't worth it.,Yelp
This place lacked style!!,Yelp
"The sangria was about half of a glass wine full and was $12, ridiculous.",Yelp
Don't bother coming here.,Yelp
"The meat was pretty dry, I had the sliced brisket and pulled pork.",Yelp
"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",Yelp
It was equally awful.,Yelp
Probably not in a hurry to go back.,Yelp
very slow at seating even with reservation.,Yelp
Not good by any stretch of the imagination.,Yelp
The cashew cream sauce was bland and the vegetables were undercooked.,Yelp
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",Yelp
"It was a bit too sweet, not really spicy enough, and lacked flavor.",Yelp
I was VERY disappointed!!,Yelp
This place is horrible and way overpriced.,Yelp
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",Yelp
It wasn't busy at all and now we know why.,Yelp
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,Yelp
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",Yelp
Con: spotty service.,Yelp
"The fries were not hot, and neither was my burger.",Yelp
But then they came back cold.,Yelp
"Then our food came out, disappointment ensued.",Yelp
The real disappointment was our waiter.,Yelp
My husband said she was very rude... did not even apologize for the bad food or anything.,Yelp
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,Yelp
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",Yelp
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,Yelp
She was quite disappointed although some blame needs to be placed at her door.,Yelp
After all the rave reviews I couldn't wait to eat here......what a disappointment!,Yelp
Del Taco is pretty nasty and should be avoided if possible.,Yelp
It's NOT hard to make a decent hamburger.,Yelp
But I don't like it.,Yelp
Hell no will I go back,Yelp
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,Yelp
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",Yelp
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,Yelp
The ambiance isn't much better.,Yelp
"Unfortunately, it only set us up for disapppointment with our entrees.",Yelp
The food wasn't good.,Yelp
"Your servers suck, wait, correction, our server Heimer sucked.",Yelp
What happened next was pretty....off putting.,Yelp
"too bad cause I know it's family owned, I really wanted to like this place.",Yelp
Overpriced for what you are getting.,Yelp
I vomited in the bathroom mid lunch.,Yelp
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",Yelp
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",Yelp
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,Yelp
Food was below average.,Yelp
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,Yelp
"All in all, Ha Long Bay was a bit of a flop.",Yelp
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,Yelp
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,Yelp
"It lacked flavor, seemed undercooked, and dry.",Yelp
It really is impressive that the place hasn't closed down.,Yelp
I would avoid this place if you are staying in the Mirage.,Yelp
The refried beans that came with my meal were dried out and crusty and the food was bland.,Yelp
Spend your money and time some place else.,Yelp
A lady at the table next to us found a live green caterpillar In her salad.,Yelp
the presentation of the food was awful.,Yelp
I can't tell you how disappointed I was.,Yelp
I think food should have flavor and texture and both were lacking.,Yelp
Appetite instantly gone.,Yelp
Overall I was not impressed and would not go back.,Yelp
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",Yelp
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",Yelp
